"","chm_max","chm_mea","chm_std","pen2_50","pen2_10","pen1_5","vegEven"
"1",31.10180664,19.32492479,7.240891339,0.535222353,0.859128238,0.96797153,0.833212889
"2",37.49041748,24.67454622,6.392203257,0.48024948,0.854500617,0.9625,0.960986385
"3",38.54196167,23.89727832,9.696917476,0.508280757,0.846355877,0.964098728,0.993507421
"4",30.3550415,20.73367911,3.793741764,0.461398398,0.878640777,0.974595843,0.736188051
"5",33.28109741,24.66823356,8.112882815,0.54053145,0.92729371,0.992588017,0.993273464
"6",39.07841492,25.34367719,7.915480663,0.505584512,0.847690387,0.961756374,0.998244229
"7",29.4680481,16.85231166,4.757547577,0.511090137,0.833076923,0.971300448,0.718221771
"8",34.15893555,20.74688887,9.03284586,0.531045752,0.921985816,0.984848485,0.908488372
"9",42.70246887,28.55271523,8.671602794,0.458259951,0.900969529,0.962990377,1.055159172
"10",39.40757751,20.30696633,12.29322174,0.549522155,0.944029851,0.985970382,0.989827532
"11",39.0479126,24.69650612,9.036964224,0.517704518,0.873626374,0.95423856,0.993289412
"12",30.60498047,22.46847756,5.658740293,0.540253511,0.890960452,0.968673219,0.854845416
"13",30.39468384,12.11264175,6.964869929,0.543488943,0.651354535,0.903594771,0.703107738
"14",37.83480835,21.79530589,9.523618013,0.478115882,0.796527778,0.933224756,0.984673729
"15",42.74514771,13.94555894,12.97651146,0.67900656,0.936046512,0.990424077,0.812214505
"16",41.57777405,28.12609979,9.562193524,0.487804878,0.917180014,0.97596504,1.038911562
"17",35.89021301,15.62622703,11.17710183,0.592667002,0.852601156,0.92476489,0.8456865
"18",29.16937256,20.48555926,4.275765164,0.528987881,0.909346847,0.979381443,0.733625796
"19",32.39111328,21.64820617,4.480533611,0.479826195,0.889016676,0.975378788,0.801203143
"20",33.80535889,20.14201418,10.28572657,0.648734177,0.951591512,0.993079585,0.867750134
"21",48.57293701,30.10034743,12.66944498,0.477916195,0.873103448,0.973097617,1.042384423
"22",39.04486084,29.96784842,5.678921948,0.415910677,0.850820842,0.939968404,1.07327601
"23",31.83636475,19.62819684,9.215468174,0.451011886,0.828807556,0.951086957,0.924737689
"24",37.17645264,23.26996194,8.726068672,0.538403614,0.903348073,0.974778459,0.964024269
"25",36.79852295,24.58695165,6.411829703,0.489341983,0.901023891,0.975069252,0.985401659
"26",41.70881653,26.77620239,10.12129315,0.527788139,0.876160991,0.968514716,1.00231606
"27",37.40811157,23.83843777,5.925644322,0.45104775,0.8125,0.933854908,0.962305473
"28",37.63365173,24.02207601,9.648613887,0.519177541,0.884175084,0.964023495,1.000440075
"29",35.47871399,23.62470955,6.030828914,0.506995582,0.855279503,0.95162405,0.932836176
"30",32.93667603,24.35041148,5.797197649,0.522736106,0.934027778,0.987518355,0.95789026
"31",41.70272827,29.0184683,7.025280918,0.503341541,0.946428571,0.984858913,1.030769687
"32",39.39234924,24.38442419,7.599025135,0.529863197,0.885666481,0.965349544,0.954722728
"33",33.87243652,24.22768869,4.874977505,0.376028807,0.780149413,0.93525641,0.894560317
"34",35.60671997,24.19302563,5.240620548,0.462771642,0.795955882,0.928520372,0.939330806
"35",40.0446167,29.82734952,5.639336375,0.418947368,0.839072382,0.955964772,1.070351043
"36",31.99180603,19.91247277,8.908383286,0.501069138,0.838902148,0.960382514,0.915167764
"37",31.23287964,22.94536372,6.579652835,0.512369598,0.888372093,0.976704545,0.932697532
"38",38.31030273,30.03968519,5.337086152,0.414088216,0.923641703,0.983580923,1.079008408
"39",33.26586914,24.28106757,5.486606332,0.513542409,0.930277598,0.987662783,0.960020634
"40",42.29711914,29.45041485,6.996892935,0.482032668,0.860103627,0.970760234,1.040293824
"41",33.50361633,15.82841061,11.54927868,0.557256991,0.87278415,0.973255814,0.922569658
"42",41.53814697,24.28924995,8.954617505,0.476074368,0.872625698,0.967182663,1.008486707
"43",32.69589233,19.68908207,6.935849218,0.525369557,0.891525424,0.971196455,0.839106299
"44",42.8243866,26.52480528,8.830245282,0.516321656,0.876351351,0.974455297,1.016837009
"45",39.15158081,25.73776147,6.354649045,0.449199851,0.901418969,0.974919094,1.018446593
"46",37.48126221,23.34165374,6.829472508,0.483333333,0.856540084,0.960264901,0.955147648
"47",37.03320313,28.82452442,6.561387671,0.498186614,0.867892016,0.944965604,1.018574497
"48",34.03701782,22.23560061,4.547670845,0.475600874,0.881241565,0.961000736,0.84772736
"49",42.69332886,28.1019759,8.279182422,0.493165969,0.839107736,0.950026867,1.023971977
"50",37.70071411,30.44340393,3.016987431,0.433436533,0.900584795,0.969124134,1.070597729
"51",43.81500244,29.90778324,8.907453347,0.392554992,0.791808874,0.941136671,1.083369687
"52",37.51783752,20.38832213,11.49765631,0.581827568,0.906677393,0.972389991,0.939195465
"53",30.83660889,23.05522787,4.530337999,0.524519101,0.92543021,0.981744422,0.856053913
"54",35.85362244,15.8428041,8.572282092,0.518880498,0.82137834,0.947283049,0.847155274
"55",30.47694397,16.02929688,9.983486598,0.534817814,0.813924831,0.948312994,0.788722805
"56",37.18865967,11.63614574,12.11024949,0.619256018,0.82893966,0.904670505,0.836486699
"57",32.94888306,25.58026279,3.275756477,0.445597847,0.940746753,0.98220339,0.994259826
"58",33.41827393,24.76249893,4.155508188,0.461777502,0.888755981,0.975065617,0.929265964
"59",29.80941772,21.40860661,3.963531464,0.549368968,0.926157697,0.987324883,0.731834454
"60",34.90570068,12.6003558,12.52308543,0.700351936,0.941216216,0.985148515,0.779804636
"61",32.6288147,26.38664517,2.926357098,0.392013889,0.814574315,0.939267887,0.968751897
"62",34.2412262,21.38502758,8.380421466,0.517258383,0.916157205,0.984976526,0.955747528
"63",34.97579956,25.67124934,4.910436859,0.429300292,0.878448919,0.963934426,0.992744289
"64",36.47846985,24.32182176,5.75940927,0.487134297,0.855727554,0.960389159,0.944625575
"65",34.37533569,16.85383328,10.60981275,0.627512282,0.843843844,0.958390177,0.839448763
"66",44.65930176,29.88477817,7.615411567,0.465261771,0.941372418,0.986731844,1.054546175
"67",39.31919861,27.36311537,8.766038727,0.431500163,0.896551724,0.972834068,1.066605327
"68",39.2338562,20.86877403,12.54828894,0.535345184,0.846405229,0.940450254,0.978092313
"69",43.03778076,29.82969749,9.508917604,0.559492563,0.916189112,0.980828221,0.971051104
"70",34.05227661,25.05709664,4.038699946,0.425145068,0.888439774,0.965699208,0.971163113
"71",34.59481812,24.95349141,6.462129455,0.517103348,0.945442448,0.992318436,0.999137522
"72",37.8531189,21.15384273,7.229320015,0.527385892,0.882026371,0.976190476,0.916706047
"73",42.8487854,27.10245406,6.804667608,0.514873302,0.921156373,0.986629134,1.020267144
"74",31.36999512,24.57431285,3.597047518,0.396534149,0.865085248,0.969269103,0.91242983
"75",37.60926819,27.61392197,6.403576227,0.489137591,0.848173516,0.947704082,1.021433797
