"","Acer_negundo","Acer_rubrum","Acer_saccharum","Aesculus_flava","Ailanthus_altissima","Amelanchier_arborea","Asimina_triloba","Carpinus_caroliniana","Carya_spp","Castanea_dentata","Celtis_occidentalis","Cercis_canadensis","Cornus_alternifolia","Cornus_amomum","Cornus_florida","Corylus_americana","Crataegus_spp","Elaeagnus_umbellata","Fagus_grandifolia","Fraxinus_americana","Fraxinus_pennsylvanica","Hamamelis_virginiana","Hypericum_spathulatum","Juglans_nigra","Lindera_benzoin","Liriodendron_tulipifera","Lonicera_japonica","Lonicera_maackii","Nyssa_sylvatica","Ostrya_virginiana","Oxydendrum_arboreum","Parthenocissus_quinquefolia","Pinus_strobus","Platanus_occidentalis","Populus_grandidentata","Prunus_serotina","Quercus_alba","Quercus_coccinea","Quercus_montana","Quercus_rubra","Quercus_velutina","Rhus_copallinum","Rhus_glabra","Rhus_typhina","Rosa_multiflora","Rubus_allegheniensis","Rubus_occidentalis","Sambucus_canadensis","Sassafras_albidum","Smilax_spp","Spiraea_tomentosa","Tilia_americana","Toxicodendron_radicans","Ulmus_americana","Ulmus_rubra","Vaccinium_spp","Viburnum_acerifolium","Viburnum_dentatum","Viburnum_prunifolium","Vitis_spp"
"1",0,127.323954473516,509.295817894065,0,0,127.323954473516,0,63.6619772367581,1082.25361302489,0,0,445.633840657307,0,0,0,0,0,0,0,1018.59163578813,0,0,0,0,0,0,0,0,0,0,0,63.6619772367581,0,0,0,0,0,0,891.267681314614,318.309886183791,636.619772367581,0,0,0,0,0,763.943726841098,0,63.6619772367581,3628.73270249521,0,0,0,0,0,0,827.605704077856,0,0,0
"2",0,190.985931710274,127.323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273.23954473516,0,0,0,0,0,0,63.6619772367581,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082.25361302489,0,0,0,0,0,0,0,0,0,0
"3",0,0,190.985931710274,63.6619772367581,0,0,0,0,0,0,0,0,0,0,63.6619772367581,318.309886183791,0,0,1209.5775674984,509.295817894065,0,0,0,0,1464.22547644544,0,0,0,190.985931710274,0,0,0,0,0,0,0,0,0,127.323954473516,127.323954473516,0,0,0,0,0,0,0,0,0,2801.12699841736,0,254.647908947033,0,0,190.985931710274,0,63.6619772367581,0,0,0
"4",0,63.6619772367581,381.971863420549,0,0,1527.8874536822,0,2164.50722604978,63.6619772367581,0,0,0,0,0,318.309886183791,63.6619772367581,127.323954473516,0,254.647908947033,763.943726841098,0,0,0,0,0,0,0,0,0,6493.52167814933,0,0,0,0,0,0,127.323954473516,0,0,572.957795130823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909.85931710274,0,0,0
"5",0,0,0,0,0,63.6619772367581,0,0,254.647908947033,0,0,445.633840657307,0,0,0,0,0,0,0,1973.5212943395,0,0,0,0,700.281749604339,0,0,0,0,3883.38061144225,0,0,0,0,0,0,127.323954473516,0,0,190.985931710274,0,0,0,0,0,0,0,0,0,6429.85970091257,0,0,0,0,0,0,2673.80304394384,0,63.6619772367581,0
"6",0,84.8826363156775,127.323954473516,0,0,0,0,297.089227104871,0,0,0,0,0,0,42.4413181578388,0,0,0,806.385044998936,212.206590789194,0,0,0,0,3947.042588679,0,0,0,84.8826363156775,42.4413181578388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891.267681314614,0,0,0,0,0,0,0,0,0,0
"7",0,0,63.6619772367581,0,0,0,0,63.6619772367581,190.985931710274,0,0,2100.84524881302,0,0,127.323954473516,0,0,0,254.647908947033,4456.33840657307,2737.4650211806,0,0,0,4392.67642933631,0,1082.25361302489,572.957795130823,318.309886183791,0,0,63.6619772367581,0,0,0,0,0,0,0,0,63.6619772367581,0,0,0,4965.63422446713,0,254.647908947033,0,318.309886183791,2291.83118052329,0,0,0,318.309886183791,63.6619772367581,0,190.985931710274,0,254.647908947033,254.647908947033
"8",0,0,0,0,0,190.985931710274,0,381.971863420549,763.943726841098,0,0,0,0,0,0,190.985931710274,0,572.957795130823,1018.59163578813,0,0,0,0,0,891.267681314614,0,0,0,0,0,0,0,0,0,0,0,954.929658551372,0,254.647908947033,190.985931710274,318.309886183791,0,0,0,63.6619772367581,0,0,0,0,4329.01445209955,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,127.323954473516,127.323954473516,0,0,0,0,0,0,0,0,0,0,1909.85931710274,572.957795130823,0,0,0,0,1082.25361302489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.647908947033,0,0,0,0,954.929658551372,0,0,0,0,0,0,0,0,0,0
"10",0,2419.15513499681,127.323954473516,127.323954473516,0,1209.5775674984,63.6619772367581,700.281749604339,1082.25361302489,0,0,0,0,0,63.6619772367581,0,0,0,891.267681314614,63.6619772367581,0,0,0,0,0,318.309886183791,0,0,1527.8874536822,0,254.647908947033,0,0,0,0,63.6619772367581,0,127.323954473516,0,891.267681314614,63.6619772367581,127.323954473516,0,0,0,0,0,0,763.943726841098,8721.69088143586,63.6619772367581,0,0,0,0,0,700.281749604339,0,0,381.971863420549
"11",0,0,381.971863420549,636.619772367581,0,63.6619772367581,0,572.957795130823,0,0,0,0,0,0,190.985931710274,0,127.323954473516,0,572.957795130823,572.957795130823,0,0,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.323954473516,0,0,0,0,0,0,0,0,0,827.605704077856,0,0,0,0,318.309886183791,0,63.6619772367581,0,1018.59163578813,0
"12",0,63.6619772367581,0,0,0,254.647908947033,0,4010.70456591576,63.6619772367581,0,0,1464.22547644544,0,0,509.295817894065,0,127.323954473516,63.6619772367581,891.267681314614,1336.90152197192,0,0,0,0,4583.66236104659,0,0,0,127.323954473516,190.985931710274,0,63.6619772367581,0,0,0,0,318.309886183791,0,0,190.985931710274,127.323954473516,0,0,0,3246.76083907466,0,318.309886183791,0,0,1018.59163578813,0,0,0,0,381.971863420549,0,381.971863420549,0,0,0
"13",0,127.323954473516,0,0,0,0,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,254.647908947033,0,0,0,0,0,0,190.985931710274,0,0,954.929658551372,0,381.971863420549,0,0,0,0,0,0,0,2673.80304394384,0,127.323954473516,0,0,0,0,0,0,0,700.281749604339,6302.53574643906,0,0,0,0,0,63.6619772367581,0,0,0,0
"14",0,445.633840657307,0,0,0,63.6619772367581,0,127.323954473516,63.6619772367581,0,0,0,0,0,0,0,0,0,572.957795130823,127.323954473516,0,0,0,0,0,0,0,0,381.971863420549,190.985931710274,0,0,0,0,0,0,0,0,63.6619772367581,63.6619772367581,127.323954473516,0,0,0,254.647908947033,0,0,0,0,2801.12699841736,0,0,0,0,0,0,3119.43688460115,0,0,0
"15",0,572.957795130823,381.971863420549,0,0,190.985931710274,0,763.943726841098,254.647908947033,0,0,0,0,0,127.323954473516,0,0,0,1145.91559026165,1273.23954473516,0,0,0,0,63.6619772367581,509.295817894065,0,0,0,254.647908947033,63.6619772367581,0,0,0,0,0,0,0,63.6619772367581,127.323954473516,0,0,0,0,0,0,0,0,0,445.633840657307,0,0,0,0,0,0,1400.56349920868,0,0,0
"16",0,509.295817894065,127.323954473516,509.295817894065,0,0,63.6619772367581,0,127.323954473516,0,0,190.985931710274,0,0,0,0,0,0,63.6619772367581,254.647908947033,0,0,0,0,700.281749604339,445.633840657307,0,0,63.6619772367581,0,0,0,0,0,0,63.6619772367581,63.6619772367581,0,254.647908947033,190.985931710274,381.971863420549,0,0,0,0,3565.07072525846,891.267681314614,0,63.6619772367581,4329.01445209955,0,0,0,0,127.323954473516,0,0,0,0,127.323954473516
"17",0,0,127.323954473516,381.971863420549,0,0,0,63.6619772367581,381.971863420549,0,0,63.6619772367581,0,0,254.647908947033,0,0,0,445.633840657307,127.323954473516,0,0,0,0,1018.59163578813,0,0,0,0,63.6619772367581,0,0,0,0,0,0,190.985931710274,0,0,445.633840657307,254.647908947033,0,0,0,190.985931710274,0,0,0,0,1973.5212943395,0,0,0,827.605704077856,0,0,0,0,0,0
"18",0,127.323954473516,0,63.6619772367581,0,0,7384.78935946394,0,0,0,0,0,0,0,0,0,0,0,0,636.619772367581,0,0,0,0,7512.11331393746,0,5347.60608788768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636.619772367581,0,0,0,0,4965.63422446713,0,0,0,0,0,0,0,0,0,0
"19",0,127.323954473516,0,0,0,63.6619772367581,0,63.6619772367581,254.647908947033,0,0,63.6619772367581,0,0,381.971863420549,0,0,381.971863420549,2037.18327157626,190.985931710274,0,0,0,0,0,0,0,0,318.309886183791,0,254.647908947033,0,0,0,0,318.309886183791,63.6619772367581,0,63.6619772367581,445.633840657307,190.985931710274,0,0,0,1082.25361302489,0,0,0,318.309886183791,3374.08479354818,0,0,0,0,0,318.309886183791,0,0,0,0
"20",0,1464.22547644544,63.6619772367581,0,0,0,0,0,636.619772367581,0,0,0,0,0,127.323954473516,190.985931710274,0,0,0,0,0,0,0,0,0,509.295817894065,0,0,2291.83118052329,0,63.6619772367581,0,0,0,0,445.633840657307,572.957795130823,0,1846.19733986599,127.323954473516,700.281749604339,0,0,0,0,3628.73270249521,0,0,0,4201.69049762604,0,0,0,0,0,0,1846.19733986599,0,0,0
"21",0,0,42.4413181578388,42.4413181578388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.647908947033,424.413181578388,0,0,0,0,2419.15513499681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4413181578388,0,0,0,0,42.4413181578388,0,0,0,0,42.4413181578388,0,0,0,0,0
"22",0,2992.11293012763,0,0,0,127.323954473516,0,127.323954473516,318.309886183791,63.6619772367581,0,0,0,0,0,318.309886183791,0,0,127.323954473516,381.971863420549,0,190.985931710274,0,0,891.267681314614,827.605704077856,0,0,1527.8874536822,0,254.647908947033,63.6619772367581,0,0,0,0,0,0,127.323954473516,127.323954473516,63.6619772367581,0,0,0,0,0,0,0,1718.87338539247,1718.87338539247,0,0,0,0,0,0,127.323954473516,0,0,0
"23",0,63.6619772367581,572.957795130823,127.323954473516,0,0,2291.83118052329,2228.16920328653,700.281749604339,0,0,0,0,0,254.647908947033,63.6619772367581,0,0,2673.80304394384,1273.23954473516,0,0,0,0,190.985931710274,0,0,0,0,63.6619772367581,0,0,0,0,0,0,63.6619772367581,0,0,318.309886183791,0,0,0,0,0,0,0,0,0,891.267681314614,0,0,0,0,0,0,509.295817894065,0,0,0
"24",0,0,127.323954473516,0,0,63.6619772367581,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,891.267681314614,190.985931710274,0,0,0,0,763.943726841098,0,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.323954473516,0,0,0,2037.18327157626,0,0,0,0,0,0,63.6619772367581,0,0,0
"25",0,127.323954473516,0,0,0,0,0,0,63.6619772367581,0,0,318.309886183791,0,0,0,0,0,0,445.633840657307,381.971863420549,0,0,0,0,2992.11293012763,0,0,127.323954473516,63.6619772367581,0,63.6619772367581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846.19733986599,0,0,0,0,0,0,63.6619772367581,0,0,0
"26",0,0,1082.25361302489,190.985931710274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891.267681314614,190.985931710274,0,0,0,0,254.647908947033,0,0,0,0,63.6619772367581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.929658551372,0,0,0,0,0,0,0,0,0,0
"27",0,63.6619772367581,190.985931710274,0,0,63.6619772367581,0,827.605704077856,445.633840657307,0,0,0,0,0,127.323954473516,0,0,0,318.309886183791,0,0,0,0,0,0,0,0,0,254.647908947033,0,2228.16920328653,0,190.985931710274,0,0,0,0,0,0,509.295817894065,63.6619772367581,0,0,0,0,0,0,0,445.633840657307,1464.22547644544,0,0,0,0,0,0,3055.77490736439,0,0,0
