"","Acer_rubrum","Acer_saccharinum","Acer_saccharum","Aesculus_flava","Ailanthus_altissima","Amelanchier_arborea","Betula_nigra","Carpinus_caroliniana","Carya_spp","Cercis_canadensis","Cornus_florida","Fagus_grandifolia","Fraxinus_americana","Fraxinus_pennsylvanica","Juglans_nigra","Liriodendron_tulipifera","Nyssa_sylvatica","Ostrya_virginiana","Oxydendrum_arboreum","Pinus_rigida","Pinus_strobus","Platanus_occidentalis","Populus_grandidentata","Prunus_serotina","Quercus_alba","Quercus_coccinea","Quercus_imbricaria","Quercus_montana","Quercus_rubra","Quercus_velutina","Robinia_pseudoacacia","Sassafras_albidum","Tilia_americana","Ulmus_americana","Ulmus_rubra"
"1",0,0,124.641665824963,0,0,0,0,0,137.105832407459,0,0,0,24.9283331649926,0,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,124.641665824963,24.9283331649926,0,0,0,0,0,0
"2",74.7849994949778,0,0,0,0,0,0,0,0,0,0,211.890831902437,0,0,0,12.4641665824963,12.4641665824963,0,12.4641665824963,0,0,0,0,0,74.7849994949778,0,0,0,0,0,0,0,0,0,0
"3",87.2491660774741,0,99.7133326599704,0,0,0,0,0,37.3924997474889,0,0,37.3924997474889,0,0,0,74.7849994949778,0,0,0,0,0,0,0,0,12.4641665824963,0,0,24.9283331649926,0,0,0,0,12.4641665824963,0,12.4641665824963
"4",99.7133326599704,0,174.498332154948,0,0,12.4641665824963,0,0,99.7133326599704,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,0,0,0,12.4641665824963,12.4641665824963,0,24.9283331649926,0,0,0,0,12.4641665824963,0,0
"5",12.4641665824963,0,162.034165572452,0,0,0,0,0,12.4641665824963,12.4641665824963,0,0,12.4641665824963,0,12.4641665824963,0,0,24.9283331649926,0,0,0,0,0,0,49.8566663299852,0,0,49.8566663299852,24.9283331649926,0,0,0,0,0,0
"6",8.30944438833087,0,74.7849994949778,0,0,0,0,0,41.5472219416544,0,0,99.7133326599704,8.30944438833087,0,0,49.8566663299852,99.7133326599704,16.6188887766617,24.9283331649926,0,0,0,0,0,16.6188887766617,0,0,0,24.9283331649926,0,0,8.30944438833087,0,0,0
"7",112.177499242467,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,0,124.641665824963,24.9283331649926,0,37.3924997474889,0,224.354998484934,0,0,12.4641665824963,0,0,0,0,0,0,0,12.4641665824963,0,0,0
"8",74.7849994949778,0,12.4641665824963,0,0,0,0,0,74.7849994949778,0,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,0,124.641665824963,0,0,24.9283331649926,0,0,0,0,0,12.4641665824963,0
"9",37.3924997474889,0,49.8566663299852,0,0,0,0,12.4641665824963,12.4641665824963,0,0,99.7133326599704,0,0,0,62.3208329124815,0,0,0,0,0,0,0,0,0,0,0,0,24.9283331649926,12.4641665824963,0,0,24.9283331649926,0,0
"10",62.3208329124815,0,0,0,0,0,0,0,37.3924997474889,0,0,0,0,0,0,37.3924997474889,24.9283331649926,0,37.3924997474889,0,0,0,0,0,24.9283331649926,12.4641665824963,0,0,12.4641665824963,0,0,0,0,0,0
"11",74.7849994949778,0,74.7849994949778,0,0,0,0,0,49.8566663299852,0,0,87.2491660774741,0,0,0,24.9283331649926,24.9283331649926,0,0,0,0,0,0,0,49.8566663299852,0,0,0,12.4641665824963,0,0,0,0,0,12.4641665824963
"12",37.3924997474889,0,0,0,0,0,0,12.4641665824963,99.7133326599704,0,12.4641665824963,0,62.3208329124815,0,0,24.9283331649926,24.9283331649926,12.4641665824963,0,0,0,0,0,12.4641665824963,24.9283331649926,0,0,0,87.2491660774741,0,0,0,0,0,12.4641665824963
"13",149.569998989956,0,0,0,0,0,0,0,0,12.4641665824963,0,12.4641665824963,0,0,0,37.3924997474889,0,0,162.034165572452,12.4641665824963,0,0,37.3924997474889,0,12.4641665824963,236.81916506743,0,286.675831397415,12.4641665824963,0,0,0,0,0,0
"14",87.2491660774741,0,24.9283331649926,0,0,0,0,0,0,0,12.4641665824963,199.426665319941,0,0,0,12.4641665824963,12.4641665824963,0,0,0,0,0,0,0,0,0,0,112.177499242467,12.4641665824963,0,0,0,0,0,0
"15",62.3208329124815,0,124.641665824963,0,0,0,0,0,24.9283331649926,0,0,24.9283331649926,12.4641665824963,0,0,24.9283331649926,12.4641665824963,0,99.7133326599704,0,0,0,0,0,37.3924997474889,0,0,37.3924997474889,0,0,0,0,0,0,0
"16",24.9283331649926,0,162.034165572452,0,0,0,0,0,37.3924997474889,0,0,12.4641665824963,0,0,0,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,0
"17",12.4641665824963,0,236.81916506743,0,0,0,0,0,24.9283331649926,0,0,49.8566663299852,0,0,0,24.9283331649926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",299.139997979911,0,0,12.4641665824963,0,0,0,0,0,12.4641665824963,0,0,0,0,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,24.9283331649926,0,0,0,24.9283331649926
"19",236.81916506743,0,0,0,0,0,0,0,37.3924997474889,0,12.4641665824963,0,0,0,0,0,12.4641665824963,0,37.3924997474889,0,0,0,37.3924997474889,0,0,0,0,0,37.3924997474889,24.9283331649926,0,0,0,0,0
"20",186.962498737445,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,0,0,12.4641665824963,12.4641665824963,0,12.4641665824963,0,0,0,0,0,62.3208329124815,0,0,24.9283331649926,24.9283331649926,37.3924997474889,0,0,0,0,0
"21",0,0,124.641665824963,0,0,0,0,0,24.9283331649926,0,0,58.1661107183161,0,0,0,91.4038882716396,8.30944438833087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.30944438833087
"22",87.2491660774741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,112.177499242467,0,12.4641665824963,0,0,0,0,0,12.4641665824963,37.3924997474889,0,12.4641665824963,37.3924997474889,49.8566663299852,0,12.4641665824963,0,0,0
"23",62.3208329124815,0,149.569998989956,12.4641665824963,0,0,0,0,12.4641665824963,0,0,74.7849994949778,0,0,0,12.4641665824963,37.3924997474889,0,0,0,0,0,0,37.3924997474889,24.9283331649926,0,0,0,24.9283331649926,0,0,0,0,0,12.4641665824963
"24",62.3208329124815,0,186.962498737445,0,0,0,0,0,24.9283331649926,0,0,62.3208329124815,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,24.9283331649926,0,0,0,0,0,0,0,0,0,0
"25",12.4641665824963,0,199.426665319941,0,0,0,0,0,24.9283331649926,0,0,24.9283331649926,0,0,0,87.2491660774741,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",74.7849994949778,0,162.034165572452,0,0,0,0,0,0,0,12.4641665824963,24.9283331649926,0,0,0,12.4641665824963,0,24.9283331649926,0,0,0,0,0,0,12.4641665824963,0,0,37.3924997474889,12.4641665824963,12.4641665824963,0,0,0,0,0
"27",199.426665319941,0,24.9283331649926,0,0,0,0,0,12.4641665824963,0,12.4641665824963,49.8566663299852,0,0,0,12.4641665824963,49.8566663299852,0,12.4641665824963,0,12.4641665824963,0,0,0,62.3208329124815,0,0,0,49.8566663299852,0,0,0,0,0,0
"28",149.569998989956,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,12.4641665824963,37.3924997474889,0,0,0,0,0,0,49.8566663299852,87.2491660774741,0,0,0,12.4641665824963,0,0,0,0,0,0
"29",274.211664814919,0,0,0,0,24.9283331649926,0,0,0,0,0,24.9283331649926,0,0,0,0,99.7133326599704,0,24.9283331649926,0,0,0,0,0,74.7849994949778,24.9283331649926,0,0,0,12.4641665824963,0,0,0,0,0
"30",49.8566663299852,0,224.354998484934,0,0,0,0,0,124.641665824963,0,0,0,12.4641665824963,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
