"","Acer_negundo","Acer_rubrum","Acer_saccharinum","Acer_saccharum","Aesculus_flava","Ailanthus_altissima","Amelanchier_arborea","Asimina_triloba","Betula_nigra","Carpinus_caroliniana","Carya_spp","Castanea_dentata","Celtis_occidentalis","Cercis_canadensis","Cornus_alternifolia","Cornus_amomum","Cornus_florida","Corylus_americana","Crataegus_spp","Elaeagnus_umbellata","Fagus_grandifolia","Fraxinus_americana","Fraxinus_pennsylvanica","Hamamelis_virginiana","Hypericum_spathulatum","Juglans_nigra","Lindera_benzoin","Liriodendron_tulipifera","Lonicera_japonica","Lonicera_maackii","Nyssa_sylvatica","Ostrya_virginiana","Oxydendrum_arboreum","Parthenocissus_quinquefolia","Pinus_rigida","Pinus_strobus","Platanus_occidentalis","Populus_grandidentata","Prunus_serotina","Quercus_alba","Quercus_coccinea","Quercus_imbricaria","Quercus_montana","Quercus_rubra","Quercus_velutina","Rhus_copallinum","Rhus_glabra","Rhus_typhina","Robinia_pseudoacacia","Rosa_multiflora","Rubus_allegheniensis","Rubus_occidentalis","Sambucus_canadensis","Sassafras_albidum","Smilax_spp","Spiraea_tomentosa","Tilia_americana","Toxicodendron_radicans","Ulmus_americana","Ulmus_rubra","Vaccinium_spp","Viburnum_acerifolium","Viburnum_dentatum","Viburnum_prunifolium","Vitis_spp"
"1",0,127.323954473516,0,633.937483719028,0,0,127.323954473516,0,0,63.6619772367581,1219.35944543235,0,0,445.633840657307,0,0,0,0,0,0,0,1043.51996895312,0,0,0,0,0,0,0,0,0,0,0,63.6619772367581,0,0,0,0,12.4641665824963,0,0,0,1015.90934713958,343.238219348783,636.619772367581,0,0,0,0,0,0,763.943726841098,0,63.6619772367581,3628.73270249521,0,0,0,0,0,0,827.605704077856,0,0,0
"2",0,265.770931205252,0,127.323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485.1303766376,0,0,0,0,0,0,76.1261438192544,0,0,76.1261438192544,0,12.4641665824963,0,0,0,0,0,0,74.7849994949778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082.25361302489,0,0,0,0,0,0,0,0,0,0
"3",0,87.2491660774741,0,290.699264370245,63.6619772367581,0,0,0,0,0,37.3924997474889,0,0,0,0,0,63.6619772367581,318.309886183791,0,0,1246.97006724589,509.295817894065,0,0,0,0,1464.22547644544,74.7849994949778,0,0,190.985931710274,0,0,0,0,0,0,0,0,12.4641665824963,0,0,152.252287638509,127.323954473516,0,0,0,0,0,0,0,0,0,0,2801.12699841736,0,267.112075529529,0,0,203.450098292771,0,63.6619772367581,0,0,0
"4",0,163.375309896729,0,556.470195575497,0,0,1540.35162026469,0,0,2164.50722604978,163.375309896729,0,0,0,0,0,318.309886183791,63.6619772367581,127.323954473516,0,254.647908947033,763.943726841098,0,0,0,0,0,0,0,0,12.4641665824963,6493.52167814933,0,0,0,0,0,0,0,139.788121056013,12.4641665824963,0,24.9283331649926,572.957795130823,0,0,0,0,0,0,0,0,0,0,0,0,12.4641665824963,0,0,0,0,1909.85931710274,0,0,0
"5",0,12.4641665824963,0,162.034165572452,0,0,63.6619772367581,0,0,0,267.112075529529,0,0,458.098007239803,0,0,0,0,0,0,0,1985.985460922,0,0,0,12.4641665824963,700.281749604339,0,0,0,0,3908.30894460724,0,0,0,0,0,0,0,177.180620803501,0,0,49.8566663299852,215.914264875267,0,0,0,0,0,0,0,0,0,0,6429.85970091257,0,0,0,0,0,0,2673.80304394384,0,63.6619772367581,0
"6",0,93.1920807040084,0,202.108953968494,0,0,0,0,0,297.089227104871,41.5472219416544,0,0,0,0,0,42.4413181578388,0,0,0,906.098377658907,220.516035177525,0,0,0,0,3947.042588679,49.8566663299852,0,0,184.595968975648,59.0602069345005,24.9283331649926,0,0,0,0,0,0,16.6188887766617,0,0,0,24.9283331649926,0,0,0,0,0,0,0,0,0,8.30944438833087,891.267681314614,0,0,0,0,0,0,0,0,0,0
"7",0,112.177499242467,0,76.1261438192544,0,0,0,0,0,63.6619772367581,190.985931710274,0,0,2100.84524881302,0,0,127.323954473516,0,0,0,254.647908947033,4456.33840657307,2737.4650211806,0,0,0,4392.67642933631,124.641665824963,1082.25361302489,572.957795130823,343.238219348783,0,37.3924997474889,63.6619772367581,0,224.354998484934,0,0,12.4641665824963,0,0,0,0,0,63.6619772367581,0,0,0,0,4965.63422446713,0,254.647908947033,0,330.774052766287,2291.83118052329,0,0,0,318.309886183791,63.6619772367581,0,190.985931710274,0,254.647908947033,254.647908947033
"8",0,74.7849994949778,0,12.4641665824963,0,0,190.985931710274,0,0,381.971863420549,838.728726336075,0,0,0,0,0,0,190.985931710274,0,572.957795130823,1031.05580237063,0,0,0,0,0,891.267681314614,0,0,0,0,0,0,0,0,0,0,0,0,1079.57132437634,0,0,279.576242112025,190.985931710274,318.309886183791,0,0,0,0,63.6619772367581,0,0,0,0,4329.01445209955,0,0,0,12.4641665824963,0,0,0,0,0,0
"9",0,37.3924997474889,0,49.8566663299852,0,0,0,127.323954473516,0,139.788121056013,12.4641665824963,0,0,0,0,0,0,0,0,0,2009.57264976271,572.957795130823,0,0,0,0,1082.25361302489,62.3208329124815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9283331649926,12.4641665824963,0,0,0,0,254.647908947033,0,0,0,0,954.929658551372,0,24.9283331649926,0,0,0,0,0,0,0,0
"10",0,2481.47596790929,0,127.323954473516,127.323954473516,0,1209.5775674984,63.6619772367581,0,700.281749604339,1119.64611277238,0,0,0,0,0,63.6619772367581,0,0,0,891.267681314614,63.6619772367581,0,0,0,0,0,355.70238593128,0,0,1552.81578684719,0,292.040408694521,0,0,0,0,0,63.6619772367581,24.9283331649926,139.788121056013,0,0,903.73184789711,63.6619772367581,127.323954473516,0,0,0,0,0,0,0,763.943726841098,8721.69088143586,63.6619772367581,0,0,0,0,0,700.281749604339,0,0,381.971863420549
