"","all_stem_den","big_stem_bas","can_covr_mea","can_heig_mea","ELT"
"100",16834.6351907604,29.3165217845302,88.9066666666667,31.9333333333333,"wm"
"101",21995.4100691319,21.4771223275119,96.88,24.5,"dm"
"102",7744.90904603206,17.8984846111677,92.72,26.7,"dm"
"103",9593.7886745466,16.635562690892,91.68,25.05,"do"
"104",24285.900105331,24.3992579685175,93.76,30.15,"wm"
"105",12615.4317081415,25.290860678205,95.1466666666667,34.4666666666667,"dm"
"106",10258.0190687277,25.9723157647427,94.8,35.85,"wm"
"107",13179.7642999972,25.7897838515154,92.72,22.2,"do"
"108",17257.2601799064,53.5108987913436,90.9866666666667,32.3666666666667,"do"
"109",7756.03206829028,44.0661465267445,92.2,27.55,"do"
"110",11881.5964220971,45.0793131803587,96.36,27.25,"do"
"111",2386.17993588616,25.5523044091158,97.4,26.15,"do"
"112",4528.44111741949,35.2588985041898,90.12,36.45,"dm"
"113",6856.323653366,28.086361500509,94.8,22.65,"dm"
"114",7451.52749301326,27.3176149267758,93.24,25.4,"do"
"115",15007.7390283196,17.0669296734278,93.24,32,"dm"
"116",14483.2967551945,22.7827551100321,92.72,28.3,"dm"
"117",16589.9004489686,17.3964582191244,91.68,19.05,"do"
"118",8625.05370508845,30.5621818466599,91.16,24.85,"dm"
"119",7195.53843974195,31.0690539588065,92.72,20.35,"do"
"120",28248.089149241,36.6528114965933,93.24,24.8,"do"
"121",21141.5348875648,27.1940245908059,96.88,21.25,"do"
"122",23623.0108554741,33.5909429086068,89.08,26.9,"dm"
"123",8387.02468491808,19.2122980134179,87.8666666666667,23.9333333333333,"wm"
"124",9283.91952197248,18.5878625316522,90.2933333333333,18,"dm"
"125",9900.08144225599,16.1165061215966,91.3333333333333,26.4666666666667,"wm"
"126",8503.35690635471,11.2438131412013,89.2533333333333,17.4333333333333,"do"
"127",18974.2140836451,4.04923382149477,62.9066666666667,10.3,"do"
"128",10092.98685562,15.3918735479155,82.6666666666667,21.1,"wm"
"129",20349.2177319153,11.932597175451,96.5333333333333,14.6333333333333,"do"
"130",9126.04007859419,20.7678557443809,88.9066666666667,21.6333333333333,"dm"
"131",12472.9081179928,20.2108296133866,80.9333333333333,14.6666666666667,"wm"
"132",12232.5657485047,14.0475892134597,81.9733333333333,18.6333333333333,"dm"
"133",14276.270272037,35.4197470436213,86.48,24.5333333333333,"do"
"134",9470.30368338049,19.8164565223066,74,19.9333333333333,"do"
"135",16205.4307665649,28.8967160049077,87.1733333333333,24.2666666666667,"dm"
"136",24215.5855869169,16.3478607043099,58.7466666666667,21.8166666666667,"dm"
"137",35732.9076002517,13.7702573942099,75.3866666666667,19.2666666666667,"do"
"138",17616.9859988105,9.12611924713499,27.2,5.36666666666667,"do"
"139",40402.3466938301,16.039614169734,38.64,16.1,"do"
"140",12669.1273377789,21.7899013235179,92.0266666666667,23.2,"wm"
"141",12628.4742120534,24.6064100556034,40.72,13.4,"wm"
"142",4672.64653911234,41.9392408698149,89.6,25.9666666666667,"do"
"143",4487.41905236318,19.6085114992038,76.7733333333333,15.4666666666667,"do"
"144",21179.3744354204,15.3077309630094,86.48,13.8,"do"
"145",21661.6911492744,5.28456939984859,16.1066666666667,19.4333333333333,"do"
"146",14327.0210345831,24.7928381235805,90.64,28.8666666666667,"wm"
"147",17115.3681075312,31.5924830970841,81.28,21.2666666666667,"wm"
"148",7468.40896023259,18.921078392983,89.2533333333333,16.1333333333333,"do"
"149",11978.1804180004,19.483912861879,85.44,22.3,"do"
"150",12349.7920661576,24.5215169551257,64.64,24.6666666666667,"do"
"151",7753.34977964173,16.9001292192028,84.7466666666667,17.0666666666667,"wm"
